C22_0052	COG1378	0/70	Predicted transcriptional regulators	Transcription
C24_0136	COG1111	5/70	ERCC4-like helicases	Replication, recombination and repair
C24_0234	COG1111	5/70	ERCC4-like helicases	Replication, recombination and repair
C30_0127	COG4257	3/70	Streptogramin lyase	Defense mechanisms
C14_0458	COG1716	6/70	FOG: FHA domain	Signal transduction mechanisms
C2_0056	COG3920	6/70	Signal transduction histidine kinase	Signal transduction mechanisms
C17_0290	COG4464	3/70	Capsular polysaccharide biosynthesis protein	Cell wall/membrane/envelope biogenesis
C17_0352	COG1887	6/70	Putative glycosyl/glycerophosphate transferases involved in teichoic acid biosynthesis TagF/TagB/EpsJ/RodC	Cell wall/membrane/envelope biogenesis
C24_0170	COG3764	3/70	Sortase (surface protein transpeptidase)	Cell wall/membrane/envelope biogenesis
C8_0024	COG3764	3/70	Sortase (surface protein transpeptidase)	Cell wall/membrane/envelope biogenesis
C14_0045	COG5651	6/70	PPE-repeat proteins	Cell motility
C24_0130	COG3351	0/70	Putative archaeal flagellar protein D/E	Cell motility
C7_0177	COG3225	5/70	ABC-type uncharacterized transport system involved in gliding motility, auxiliary component	Cell motility
C22_0072	COG3808	7/70	Inorganic pyrophosphatase	Energy production and conversion
C27_0219	COG3202	1/70	ATP/ADP translocase	Energy production and conversion
C7_0079	COG3202	1/70	ATP/ADP translocase	Energy production and conversion
C17_0290	COG4464	3/70	Capsular polysaccharide biosynthesis protein	Carbohydrate transport and metabolism
C25_0027	COG0145	6/70	N-methylhydantoinase A/acetone carboxylase, beta subunit	Amino acid transport and metabolism
C25_0028	COG0146	5/70	N-methylhydantoinase B/acetone carboxylase, alpha subunit	Amino acid transport and metabolism
C6_0480	COG4865	3/70	Glutamate mutase epsilon subunit	Amino acid transport and metabolism
C9_0029	COG1164	7/70	Oligoendopeptidase F	Amino acid transport and metabolism
C20_0087	COG1428	1/70	Deoxynucleoside kinases	Nucleotide transport and metabolism
C14_0159	COG5598	0/70	Trimethylamine:corrinoid methyltransferase	Coenzyme transport and metabolism
C14_0409	COG5598	0/70	Trimethylamine:corrinoid methyltransferase	Coenzyme transport and metabolism
C3_0067	COG2046	3/70	ATP sulfurylase (sulfate adenylyltransferase)	Inorganic ion transport and metabolism
C14_0358	COG4689	4/70	Acetoacetate decarboxylase	Secondary metabolites biosynthesis, transport and catabolism
C17_0043	COG3670	4/70	Lignostilbene-alpha,beta-dioxygenase and related enzymes	Secondary metabolites biosynthesis, transport and catabolism
C20_0067	COG3509	3/70	Poly(3-hydroxybutyrate) depolymerase	Secondary metabolites biosynthesis, transport and catabolism
C24_0037	COG3473	2/70	Maleate cis-trans isomerase	Secondary metabolites biosynthesis, transport and catabolism
C24_0040	COG3473	2/70	Maleate cis-trans isomerase	Secondary metabolites biosynthesis, transport and catabolism
C25_0027	COG0145	6/70	N-methylhydantoinase A/acetone carboxylase, beta subunit	Secondary metabolites biosynthesis, transport and catabolism
C25_0028	COG0146	5/70	N-methylhydantoinase B/acetone carboxylase, alpha subunit	Secondary metabolites biosynthesis, transport and catabolism
C25_0035	COG3670	4/70	Lignostilbene-alpha,beta-dioxygenase and related enzymes	Secondary metabolites biosynthesis, transport and catabolism
C25_0078	COG3917	6/70	2-hydroxychromene-2-carboxylate isomerase	Secondary metabolites biosynthesis, transport and catabolism
C27_0118	COG1233	5/70	Phytoene dehydrogenase and related proteins	Secondary metabolites biosynthesis, transport and catabolism
C27_0119	COG1233	5/70	Phytoene dehydrogenase and related proteins	Secondary metabolites biosynthesis, transport and catabolism
C27_0129	COG1233	5/70	Phytoene dehydrogenase and related proteins	Secondary metabolites biosynthesis, transport and catabolism
C27_0130	COG1233	5/70	Phytoene dehydrogenase and related proteins	Secondary metabolites biosynthesis, transport and catabolism
C27_0138	COG1233	5/70	Phytoene dehydrogenase and related proteins	Secondary metabolites biosynthesis, transport and catabolism
C27_0139	COG1233	5/70	Phytoene dehydrogenase and related proteins	Secondary metabolites biosynthesis, transport and catabolism
C27_0157	COG1233	5/70	Phytoene dehydrogenase and related proteins	Secondary metabolites biosynthesis, transport and catabolism
C27_0210	COG4569	7/70	Acetaldehyde dehydrogenase (acetylating)	Secondary metabolites biosynthesis, transport and catabolism
C28_0124	COG4689	4/70	Acetoacetate decarboxylase	Secondary metabolites biosynthesis, transport and catabolism
C6_0223	COG3509	3/70	Poly(3-hydroxybutyrate) depolymerase	Secondary metabolites biosynthesis, transport and catabolism
C6_0247	COG3670	4/70	Lignostilbene-alpha,beta-dioxygenase and related enzymes	Secondary metabolites biosynthesis, transport and catabolism
C6_0249	COG3670	4/70	Lignostilbene-alpha,beta-dioxygenase and related enzymes	Secondary metabolites biosynthesis, transport and catabolism
C6_0265	COG3670	4/70	Lignostilbene-alpha,beta-dioxygenase and related enzymes	Secondary metabolites biosynthesis, transport and catabolism
C6_0294	COG3527	4/70	Alpha-acetolactate decarboxylase	Secondary metabolites biosynthesis, transport and catabolism
