C11_0017	COG0009	9/9	Putative translation factor (SUA5)	Translation, ribosomal structure and biogenesis
C11_0018	COG2890	9/9	Methylase of polypeptide chain release factors	Translation, ribosomal structure and biogenesis
C11_0020	COG0216	9/9	Protein chain release factor A	Translation, ribosomal structure and biogenesis
C11_0021	COG0254	9/9	Ribosomal protein L31	Translation, ribosomal structure and biogenesis
C11_0027	COG0018	9/9	Arginyl-tRNA synthetase	Translation, ribosomal structure and biogenesis
C12_0016	COG0072	9/9	Phenylalanyl-tRNA synthetase beta subunit	Translation, ribosomal structure and biogenesis
C12_0017	COG0016	9/9	Phenylalanyl-tRNA synthetase alpha subunit	Translation, ribosomal structure and biogenesis
C12_0018	COG0566	9/9	rRNA methylases	Translation, ribosomal structure and biogenesis
C12_0020	COG0291	9/9	Ribosomal protein L35	Translation, ribosomal structure and biogenesis
C12_0021	COG0290	9/9	Translation initiation factor 3 (IF-3)	Translation, ribosomal structure and biogenesis
C12_0035	COG0539	9/9	Ribosomal protein S1	Translation, ribosomal structure and biogenesis
C12_0089	COG1188	6/9	Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)	Translation, ribosomal structure and biogenesis
C12_0119	COG0564	9/9	Pseudouridylate synthases, 23S RNA-specific	Translation, ribosomal structure and biogenesis
C12_0125	COG0242	9/9	N-formylmethionyl-tRNA deformylase	Translation, ribosomal structure and biogenesis
C12_0126	COG0060	9/9	Isoleucyl-tRNA synthetase	Translation, ribosomal structure and biogenesis
C14_0048	COG0251	9/9	Putative translation initiation inhibitor, yjgF family	Translation, ribosomal structure and biogenesis
C14_0071	COG0423	9/9	Glycyl-tRNA synthetase (class II)	Translation, ribosomal structure and biogenesis
C14_0105	COG0268	9/9	Ribosomal protein S20	Translation, ribosomal structure and biogenesis
C14_0137	COG0211	9/9	Ribosomal protein L27	Translation, ribosomal structure and biogenesis
C14_0138	COG0261	9/9	Ribosomal protein L21	Translation, ribosomal structure and biogenesis
C14_0139	COG1530	9/9	Ribonucleases G and E	Translation, ribosomal structure and biogenesis
C14_0144	COG0525	9/9	Valyl-tRNA synthetase	Translation, ribosomal structure and biogenesis
C16_0020	COG2890	9/9	Methylase of polypeptide chain release factors	Translation, ribosomal structure and biogenesis
C17_0015	COG1187	9/9	16S rRNA uridine-516 pseudouridylate synthase and related pseudouridylate synthases	Translation, ribosomal structure and biogenesis
C18_0029	COG0513	9/9	Superfamily II DNA and RNA helicases	Translation, ribosomal structure and biogenesis
C18_0032	COG0513	9/9	Superfamily II DNA and RNA helicases	Translation, ribosomal structure and biogenesis
C1_0038	COG0154	9/9	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related amidases	Translation, ribosomal structure and biogenesis
C1_0048	COG1190	8/9	Lysyl-tRNA synthetase (class II)	Translation, ribosomal structure and biogenesis
C1_0051	COG1670	9/9	Acetyltransferases, including N-acetylases of ribosomal proteins	Translation, ribosomal structure and biogenesis
C20_0013	COG0154	9/9	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related amidases	Translation, ribosomal structure and biogenesis
C21_0013	COG0013	9/9	Alanyl-tRNA synthetase	Translation, ribosomal structure and biogenesis
C21_0038	COG2519	9/9	tRNA(1-methyladenosine) methyltransferase and related methyltransferases	Translation, ribosomal structure and biogenesis
C21_0054	COG0215	9/9	Cysteinyl-tRNA synthetase	Translation, ribosomal structure and biogenesis
C24_0014	COG0144	8/9	tRNA and rRNA cytosine-C5-methylases	Translation, ribosomal structure and biogenesis
C24_0015	COG0223	9/9	Methionyl-tRNA formyltransferase	Translation, ribosomal structure and biogenesis
C24_0034	COG0231	9/9	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	Translation, ribosomal structure and biogenesis
C24_0044	COG0013	9/9	Alanyl-tRNA synthetase	Translation, ribosomal structure and biogenesis
C25_0004	COG0173	9/9	Aspartyl-tRNA synthetase	Translation, ribosomal structure and biogenesis
C25_0010	COG0124	9/9	Histidyl-tRNA synthetase	Translation, ribosomal structure and biogenesis
C26_0011	COG0441	9/9	Threonyl-tRNA synthetase	Translation, ribosomal structure and biogenesis
C27_0018	COG0349	9/9	Ribonuclease D	Translation, ribosomal structure and biogenesis
C27_0035	COG2265	8/9	SAM-dependent methyltransferases related to tRNA (uracil-5-)-methyltransferase	Translation, ribosomal structure and biogenesis
C28_0009	COG2890	9/9	Methylase of polypeptide chain release factors	Translation, ribosomal structure and biogenesis
C28_0044	COG0324	9/9	tRNA delta(2)-isopentenylpyrophosphate transferase	Translation, ribosomal structure and biogenesis
C28_0049	COG0621	9/9	2-methylthioadenine synthetase	Translation, ribosomal structure and biogenesis
C29_0064	COG1185	9/9	Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)	Translation, ribosomal structure and biogenesis
C29_0066	COG0184	9/9	Ribosomal protein S15P/S13E	Translation, ribosomal structure and biogenesis
C29_0072	COG0130	9/9	Pseudouridine synthase	Translation, ribosomal structure and biogenesis
C29_0083	COG0858	9/9	Ribosome-binding factor A	Translation, ribosomal structure and biogenesis
C2_0024	COG0172	9/9	Seryl-tRNA synthetase	Translation, ribosomal structure and biogenesis
C2_0102	COG0564	9/9	Pseudouridylate synthases, 23S RNA-specific	Translation, ribosomal structure and biogenesis
C30_0007	COG0442	9/9	Prolyl-tRNA synthetase	Translation, ribosomal structure and biogenesis
C30_0028	COG0024	9/9	Methionine aminopeptidase	Translation, ribosomal structure and biogenesis
C30_0045	COG0233	9/9	Ribosome recycling factor	Translation, ribosomal structure and biogenesis
C30_0047	COG0264	9/9	Translation elongation factor Ts	Translation, ribosomal structure and biogenesis
C30_0048	COG0052	9/9	Ribosomal protein S2	Translation, ribosomal structure and biogenesis
C30_0063	COG0335	9/9	Ribosomal protein L19	Translation, ribosomal structure and biogenesis
C30_0067	COG0336	9/9	tRNA-(guanine-N1)-methyltransferase	Translation, ribosomal structure and biogenesis
C30_0068	COG0806	9/9	RimM protein, required for 16S rRNA processing	Translation, ribosomal structure and biogenesis
C30_0070	COG0228	9/9	Ribosomal protein S16	Translation, ribosomal structure and biogenesis
C30_0085	COG0333	3/9	Ribosomal protein L32	Translation, ribosomal structure and biogenesis
C30_0093	COG0227	8/9	Ribosomal protein L28	Translation, ribosomal structure and biogenesis
C30_0104	COG0091	9/9	Ribosomal protein L22	Translation, ribosomal structure and biogenesis
C30_0113	COG0008	9/9	Glutamyl- and glutaminyl-tRNA synthetases	Translation, ribosomal structure and biogenesis
C31_0009	COG0064	9/9	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (PET112 homolog)	Translation, ribosomal structure and biogenesis
C31_0017	COG0154	9/9	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related amidases	Translation, ribosomal structure and biogenesis
C31_0018	COG0721	9/9	Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit	Translation, ribosomal structure and biogenesis
C31_0022	COG0482	9/9	Predicted tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop ATPase domain	Translation, ribosomal structure and biogenesis
C32_0039	COG1186	9/9	Protein chain release factor B	Translation, ribosomal structure and biogenesis
C32_0090	COG0513	9/9	Superfamily II DNA and RNA helicases	Translation, ribosomal structure and biogenesis
C33_0002	COG1544	9/9	Ribosome-associated protein Y (PSrp-1)	Translation, ribosomal structure and biogenesis
C33_0020	COG1208	9/9	Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation initiation factor 2B, gamma/epsilon subunits (eIF-2Bgamma/eIF-2Bepsilon)	Translation, ribosomal structure and biogenesis
C35_0005	COG0180	9/9	Tryptophanyl-tRNA synthetase	Translation, ribosomal structure and biogenesis
C35_0021	COG0219	6/9	Predicted rRNA methylase (SpoU class)	Translation, ribosomal structure and biogenesis
C36_0019	COG0103	9/9	Ribosomal protein S9	Translation, ribosomal structure and biogenesis
C36_0033	COG0101	9/9	Pseudouridylate synthase	Translation, ribosomal structure and biogenesis
C36_0034	COG0203	9/9	Ribosomal protein L17	Translation, ribosomal structure and biogenesis
C36_0037	COG0100	9/9	Ribosomal protein S11	Translation, ribosomal structure and biogenesis
C36_0038	COG0099	9/9	Ribosomal protein S13	Translation, ribosomal structure and biogenesis
C36_0039	COG0257	9/9	Ribosomal protein L36	Translation, ribosomal structure and biogenesis
